MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/7/2022 21:03:31,1.11.0,Menu,56,4.11,11,1,Pellet,Left,22,5,12,0,2.21,60,nan
2/7/2022 21:06:34,1.11.0,Menu,56,4.11,1,1,Left,Left,23,5,12,0,nan,nan,0.00
2/7/2022 21:06:58,1.11.0,Menu,56,4.11,11,1,Pellet,Left,23,5,13,0,0.50,207,nan
2/7/2022 21:07:11,1.11.0,Menu,56,4.11,1,1,Left,Left,24,5,13,0,nan,nan,0.59
2/7/2022 21:07:39,1.11.0,Menu,56,4.11,11,1,Pellet,Left,24,5,14,0,5.19,40,nan
2/7/2022 21:09:14,1.11.0,Menu,56,4.11,1,1,Right,Left,24,6,14,0,nan,nan,0.00
2/7/2022 21:10:23,1.11.0,Menu,56,4.11,1,1,Left,Left,25,6,14,0,nan,nan,0.11
2/7/2022 21:10:47,1.11.0,Menu,56,4.10,11,1,Pellet,Left,25,6,15,0,0.63,189,nan
2/7/2022 21:11:00,1.11.0,Menu,56,4.11,1,1,Left,Right,26,6,15,0,nan,nan,0.00
2/7/2022 21:11:09,1.11.0,Menu,56,4.11,1,1,Left,Right,27,6,15,0,nan,nan,0.00
2/7/2022 21:11:42,1.11.0,Menu,56,4.10,1,1,Left,Right,28,6,15,0,nan,nan,1.52
2/7/2022 21:11:45,1.11.0,Menu,56,4.10,1,1,Left,Right,29,6,15,0,nan,nan,0.00
2/7/2022 21:11:53,1.11.0,Menu,56,4.11,1,1,Left,Right,30,6,15,0,nan,nan,0.17
2/7/2022 21:12:11,1.11.0,Menu,56,4.11,1,1,Left,Right,31,6,15,0,nan,nan,0.00
2/7/2022 21:13:08,1.11.0,Menu,56,4.11,1,1,Left,Right,32,6,15,0,nan,nan,0.42
2/7/2022 21:13:12,1.11.0,Menu,56,4.11,1,1,Left,Right,33,6,15,0,nan,nan,0.00
2/7/2022 21:13:22,1.11.0,Menu,56,4.11,1,1,Left,Right,34,6,15,0,nan,nan,0.12
2/7/2022 21:13:27,1.11.0,Menu,56,4.11,1,1,Left,Right,35,6,15,0,nan,nan,0.25
2/7/2022 21:13:28,1.11.0,Menu,56,4.11,1,1,Left,Right,36,6,15,0,nan,nan,0.00
2/7/2022 21:15:02,1.11.0,Menu,56,4.11,1,1,Left,Right,37,6,15,0,nan,nan,0.09
2/7/2022 21:15:06,1.11.0,Menu,56,4.11,1,1,Left,Right,38,6,15,0,nan,nan,0.19
2/7/2022 21:15:12,1.11.0,Menu,56,4.11,1,1,Left,Right,39,6,15,0,nan,nan,0.00
2/7/2022 21:15:15,1.11.0,Menu,56,4.11,1,1,Left,Right,40,6,15,0,nan,nan,0.10
2/7/2022 21:15:17,1.11.0,Menu,56,4.11,1,1,Left,Right,41,6,15,0,nan,nan,0.00
2/7/2022 21:15:22,1.11.0,Menu,56,4.11,1,1,Left,Right,42,6,15,0,nan,nan,0.45
2/7/2022 21:15:26,1.11.0,Menu,56,4.11,1,1,Left,Right,43,6,15,0,nan,nan,0.00
2/7/2022 21:15:28,1.11.0,Menu,56,4.11,1,1,Left,Right,44,6,15,0,nan,nan,0.00
2/7/2022 21:15:29,1.11.0,Menu,56,4.11,1,1,Left,Right,45,6,15,0,nan,nan,0.10
2/7/2022 21:15:47,1.11.0,Menu,56,4.11,1,1,Left,Right,46,6,15,0,nan,nan,0.00
2/7/2022 21:16:14,1.11.0,Menu,56,4.11,1,1,Left,Right,47,6,15,0,nan,nan,0.00
2/7/2022 21:16:52,1.11.0,Menu,56,4.11,1,1,Left,Right,48,6,15,0,nan,nan,0.00
2/7/2022 21:16:55,1.11.0,Menu,56,4.11,1,1,Left,Right,49,6,15,0,nan,nan,0.50
2/7/2022 21:17:00,1.11.0,Menu,56,4.11,1,1,Left,Right,50,6,15,0,nan,nan,0.00
2/7/2022 21:17:02,1.11.0,Menu,56,4.11,1,1,Left,Right,51,6,15,0,nan,nan,0.00
2/7/2022 21:17:09,1.11.0,Menu,56,4.11,1,1,Left,Right,52,6,15,0,nan,nan,0.10
2/7/2022 21:17:13,1.11.0,Menu,56,4.11,1,1,Left,Right,53,6,15,0,nan,nan,0.07
2/7/2022 21:17:20,1.11.0,Menu,56,4.11,1,1,Left,Right,54,6,15,0,nan,nan,0.00
2/7/2022 21:19:05,1.11.0,Menu,56,4.11,1,1,Left,Right,55,6,15,0,nan,nan,0.03
2/7/2022 21:19:12,1.11.0,Menu,56,4.11,1,1,Left,Right,56,6,15,0,nan,nan,0.00
2/7/2022 21:19:22,1.11.0,Menu,56,4.11,1,1,Left,Right,57,6,15,0,nan,nan,0.12
2/7/2022 21:19:36,1.11.0,Menu,56,4.11,1,1,Right,Right,57,7,15,0,nan,nan,0.00
2/7/2022 21:20:02,1.11.0,Menu,56,4.10,11,1,Pellet,Right,57,7,16,0,3.10,555,nan
2/7/2022 21:21:27,1.11.0,Menu,56,4.11,1,1,Left,Right,58,7,16,0,nan,nan,0.39
2/7/2022 21:22:04,1.11.0,Menu,56,4.11,1,1,Left,Right,59,7,16,0,nan,nan,0.00
2/7/2022 21:22:16,1.11.0,Menu,56,4.11,1,1,Left,Right,60,7,16,0,nan,nan,0.15
2/7/2022 21:27:26,1.11.0,Menu,56,4.11,1,1,Left,Right,61,7,16,0,nan,nan,0.17
2/7/2022 21:28:54,1.11.0,Menu,56,4.11,1,1,Left,Right,62,7,16,0,nan,nan,0.00
2/7/2022 21:28:58,1.11.0,Menu,56,4.11,1,1,Left,Right,63,7,16,0,nan,nan,0.00
2/7/2022 21:29:02,1.11.0,Menu,56,4.11,1,1,Left,Right,64,7,16,0,nan,nan,0.24
2/7/2022 21:29:10,1.11.0,Menu,56,4.11,1,1,Left,Right,65,7,16,0,nan,nan,0.00
2/7/2022 21:30:29,1.11.0,Menu,56,4.11,1,1,Left,Right,66,7,16,0,nan,nan,0.00
2/7/2022 21:31:04,1.11.0,Menu,56,4.11,1,1,Left,Right,67,7,16,0,nan,nan,0.50
2/7/2022 21:31:09,1.11.0,Menu,56,4.11,1,1,Left,Right,68,7,16,0,nan,nan,0.00
2/7/2022 21:35:32,1.11.0,Menu,56,4.10,1,1,Left,Right,69,7,16,0,nan,nan,0.20
2/7/2022 21:35:35,1.11.0,Menu,56,4.11,1,1,Left,Right,70,7,16,0,nan,nan,0.00
2/7/2022 21:35:41,1.11.0,Menu,56,4.11,1,1,Right,Right,70,8,16,0,nan,nan,0.00
2/7/2022 21:36:05,1.11.0,Menu,56,4.11,11,1,Pellet,Right,70,8,17,0,0.12,963,nan
2/7/2022 21:36:51,1.11.0,Menu,56,4.11,1,1,Right,Right,70,9,17,0,nan,nan,0.26
2/7/2022 21:37:23,1.11.0,Menu,56,4.11,11,1,Pellet,Right,70,9,18,0,7.80,78,nan
2/7/2022 21:39:16,1.11.0,Menu,56,4.11,1,1,Left,Right,71,9,18,0,nan,nan,0.00
2/7/2022 21:39:23,1.11.0,Menu,56,4.11,1,1,Left,Right,72,9,18,0,nan,nan,0.35
2/7/2022 21:39:28,1.11.0,Menu,56,4.11,1,1,Left,Right,73,9,18,0,nan,nan,0.14
2/7/2022 21:41:29,1.11.0,Menu,56,4.11,1,1,Right,Right,73,10,18,0,nan,nan,0.00
2/7/2022 21:42:04,1.11.0,Menu,56,4.11,11,1,Pellet,Right,73,10,19,0,11.23,281,nan
2/7/2022 21:49:06,1.11.0,Menu,56,4.11,1,1,Right,Right,73,11,19,0,nan,nan,0.00
