MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/7/2022 19:31:39,1.11.0,Menu,56,4.12,1,1,Left,Left,1,0,0,0,nan,nan,0.36
2/7/2022 19:33:45,1.11.0,Menu,56,4.11,43,1,Pellet,Left,1,0,1,0,0.06,nan,nan
2/7/2022 19:33:46,1.11.0,Menu,56,4.11,1,1,Left,Left,2,0,1,0,nan,nan,0.00
2/7/2022 19:35:54,1.11.0,Menu,56,4.11,11,1,Pellet,Left,2,0,2,0,Timed_out,130,nan
2/7/2022 19:36:40,1.11.0,Menu,56,4.11,1,1,Left,Left,3,0,2,0,nan,nan,0.33
2/7/2022 19:37:03,1.11.0,Menu,56,4.11,11,1,Pellet,Left,3,0,3,0,0.44,69,nan
2/7/2022 19:37:13,1.11.0,Menu,56,4.11,1,1,Left,Left,4,0,3,0,nan,nan,0.09
2/7/2022 19:37:44,1.11.0,Menu,56,4.11,11,1,Pellet,Left,4,0,4,0,7.67,40,nan
2/7/2022 19:38:24,1.11.0,Menu,56,4.11,1,1,Left,Left,5,0,4,0,nan,nan,0.00
2/7/2022 19:38:48,1.11.0,Menu,56,4.11,11,1,Pellet,Left,5,0,5,0,1.51,65,nan
2/7/2022 19:40:35,1.11.0,Menu,56,4.11,1,1,Left,Right,6,0,5,0,nan,nan,0.44
2/7/2022 19:41:13,1.11.0,Menu,56,4.11,1,1,Right,Right,6,1,5,0,nan,nan,0.00
2/7/2022 19:41:47,1.11.0,Menu,56,4.11,11,1,Pellet,Right,6,1,6,0,11.67,179,nan
2/7/2022 19:42:56,1.11.0,Menu,56,4.11,1,1,Left,Right,7,1,6,0,nan,nan,0.26
2/7/2022 19:43:43,1.11.0,Menu,56,4.11,1,1,Left,Right,8,1,6,0,nan,nan,0.00
2/7/2022 19:43:48,1.11.0,Menu,56,4.12,1,1,Left,Right,9,1,6,0,nan,nan,0.00
2/7/2022 19:44:00,1.11.0,Menu,56,4.11,1,1,Left,Right,10,1,6,0,nan,nan,0.00
2/7/2022 19:48:19,1.11.0,Menu,56,4.11,1,1,Left,Right,11,1,6,0,nan,nan,0.00
2/7/2022 19:48:49,1.11.0,Menu,56,4.11,1,1,Left,Right,12,1,6,0,nan,nan,0.14
2/7/2022 19:48:52,1.11.0,Menu,56,4.11,1,1,Right,Right,12,2,6,0,nan,nan,0.00
2/7/2022 19:53:49,1.11.0,Menu,56,4.11,11,1,Pellet,Right,12,2,7,0,Timed_out,721,nan
2/7/2022 19:59:11,1.11.0,Menu,56,4.11,1,1,Left,Right,13,2,7,0,nan,nan,0.18
2/7/2022 19:59:18,1.11.0,Menu,56,4.11,1,1,Left,Right,14,2,7,0,nan,nan,0.42
2/7/2022 19:59:23,1.11.0,Menu,56,4.11,1,1,Right,Right,14,3,7,0,nan,nan,0.00
2/7/2022 20:03:34,1.11.0,Menu,56,4.11,1,1,Pellet,Right,14,3,8,0,Timed_out,586,nan
2/7/2022 20:14:15,1.11.0,Menu,56,4.11,1,1,Left,Right,15,3,8,0,nan,nan,0.00
2/7/2022 20:14:20,1.11.0,Menu,56,4.11,1,1,Left,Right,16,3,8,0,nan,nan,0.30
2/7/2022 20:14:22,1.11.0,Menu,56,4.11,1,1,Left,Right,17,3,8,0,nan,nan,0.00
2/7/2022 20:14:27,1.11.0,Menu,56,4.11,1,1,Left,Right,18,3,8,0,nan,nan,0.06
2/7/2022 20:14:33,1.11.0,Menu,56,4.11,1,1,Left,Right,19,3,8,0,nan,nan,0.00
2/7/2022 20:14:34,1.11.0,Menu,56,4.11,1,1,Right,Right,19,4,8,0,nan,nan,0.00
2/7/2022 20:16:44,1.11.0,Menu,56,4.11,1,1,Pellet,Right,19,4,9,0,Timed_out,790,nan
2/7/2022 20:19:05,1.11.0,Menu,56,4.11,1,1,Left,Right,20,4,9,0,nan,nan,0.00
2/7/2022 20:19:36,1.11.0,Menu,56,4.11,1,1,Right,Right,20,5,9,0,nan,nan,0.32
2/7/2022 20:19:49,1.11.0,Menu,56,4.11,2,1,Pellet,Right,20,5,10,0,10.08,185,nan
2/7/2022 21:02:01,1.11.0,Menu,56,4.11,1,1,Left,Left,21,5,10,0,nan,nan,0.00
2/7/2022 21:02:31,1.11.0,Menu,56,4.11,11,1,Pellet,Left,21,5,11,0,7.29,2562,nan
2/7/2022 21:03:06,1.11.0,Menu,56,4.11,1,1,Left,Left,22,5,11,0,nan,nan,0.00
